,id,state_name,state_ab,county,city,zip_code,census_lat,census_lon,mean,median,stdev,sum_w
8668,17023689,Illinois,IL,Adams County,Chicago,60659,41.9950577,-87.6864264,43841,30425,33363,177.6968601
8669,1702129,Illinois,IL,Adams County,Humboldt,61931,39.5842125,-88.4195523,71654,54812,56866,1414.710523
8670,17023699,Illinois,IL,Adams County,Chicago,60660,41.9930264,-87.6550225,57043,55186,42792,315.3092723
8671,17023709,Illinois,IL,Adams County,Chicago,60660,41.9943875,-87.6725348,57785,42539,54835,443.9054318
8672,17023719,Illinois,IL,Adams County,Chicago,60660,41.9854762,-87.6583979,41430,28841,46332,380.0851667
8673,17023729,Illinois,IL,Adams County,Chicago,60640,41.9788748,-87.6578708,65616,57997,46663,520.0066772
8674,17023739,Illinois,IL,Adams County,Chicago,60640,41.9797951,-87.6714454,115255,75444,77855,82.82384368
8675,17023749,Illinois,IL,Adams County,Chicago,60640,41.9727092,-87.657341,60976,30684,66825,486.8617556
8676,17023759,Illinois,IL,Adams County,Chicago,60613,41.9584475,-87.6424095,78898,60447,54144,283.3835077
8677,17023779,Illinois,IL,Adams County,Chicago,60660,41.9854807,-87.6829955,95680,72041,76175,266.7839699
8678,17023789,Illinois,IL,Adams County,Chicago,60625,41.9798549,-87.694096,44689,39558,37765,568.3870867
8679,1702379,Illinois,IL,Adams County,Chicago,60641,41.935745,-87.7303057,51943,38893,42402,674.4096203
8680,17023799,Illinois,IL,Adams County,Chicago,60625,41.972545,-87.678818,104578,83590,73866,292.7134518
8681,17023809,Illinois,IL,Adams County,Chicago,60625,41.9631612,-87.6922993,79554,63397,52685,226.9520327
8682,17023819,Illinois,IL,Adams County,Chicago,60618,41.957678,-87.6915186,94076,69570,72116,188.2571037
8683,17022019,Illinois,IL,Adams County,Ingleside,60041,42.3572334,-88.1854863,86281,75894,55159,978.2316349
8684,17023839,Illinois,IL,Adams County,Chicago,60613,41.9575311,-87.6666112,124846,91100,90750,138.5261104
8685,17023849,Illinois,IL,Adams County,Chicago,60613,41.95272,-87.6605008,68114,32865,78579,440.1089827
8686,17023859,Illinois,IL,Adams County,Chicago,60613,41.9491398,-87.6568035,109775,89940,71995,232.4509667
8687,17023879,Illinois,IL,Adams County,Chicago,60657,41.9415556,-87.6662882,132775,122268,86263,237.0499448
8688,170210789,Illinois,IL,Adams County,Jacksonville,62650,39.732461,-90.2444788,55930,40345,52519,294.9496117
8689,17023899,Illinois,IL,Adams County,Chicago,60657,41.9389231,-87.6346726,125803,117138,84707,312.2735311
